Frecuencia,Ganancia,Fase
1.59150000000000e-01,-3.42358634736135e+01,8.99992453184138e+01
1.59173503076752e-01,-3.42345806570908e+01,8.99992452033101e+01
1.59197009624410e-01,-3.42332978405120e+01,8.99992450881877e+01
1.59220519643487e-01,-3.42320150238772e+01,8.99992449730467e+01
1.59244033134493e-01,-3.42307322071864e+01,8.99992448578871e+01
1.59267550097944e-01,-3.42294493904394e+01,8.99992447427088e+01
1.59291070534350e-01,-3.42281665736363e+01,8.99992446275120e+01
1.59314594444226e-01,-3.42268837567772e+01,8.99992445122965e+01
1.59338121828084e-01,-3.42256009398618e+01,8.99992443970623e+01
1.59361652686438e-01,-3.42243181228904e+01,8.99992442818095e+01
1.59385187019799e-01,-3.42230353058627e+01,8.99992441665381e+01
1.59408724828682e-01,-3.42217524887789e+01,8.99992440512480e+01
1.59432266113600e-01,-3.42204696716388e+01,8.99992439359393e+01
1.59455810875066e-01,-3.42191868544426e+01,8.99992438206119e+01
1.59479359113593e-01,-3.42179040371901e+01,8.99992437052659e+01
1.59502910829695e-01,-3.42166212198814e+01,8.99992435899011e+01
1.59526466023886e-01,-3.42153384025163e+01,8.99992434745178e+01
1.59550024696679e-01,-3.42140555850951e+01,8.99992433591157e+01
1.59573586848588e-01,-3.42127727676175e+01,8.99992432436950e+01
1.59597152480127e-01,-3.42114899500835e+01,8.99992431282556e+01
1.59620721591809e-01,-3.42102071324933e+01,8.99992430127975e+01
1.59644294184148e-01,-3.42089243148467e+01,8.99992428973208e+01
1.59667870257660e-01,-3.42076414971437e+01,8.99992427818253e+01
1.59691449812856e-01,-3.42063586793843e+01,8.99992426663112e+01
1.59715032850253e-01,-3.42050758615686e+01,8.99992425507784e+01
1.59738619370363e-01,-3.42037930436963e+01,8.99992424352268e+01
1.59762209373702e-01,-3.42025102257677e+01,8.99992423196566e+01
1.59785802860784e-01,-3.42012274077826e+01,8.99992422040677e+01
1.59809399832123e-01,-3.41999445897411e+01,8.99992420884601e+01
1.59833000288234e-01,-3.41986617716431e+01,8.99992419728337e+01
