Tiempo,Tension
0.000000000000000e+00,3.349713e-05
5.609999829760327e-09,3.355273e-05
1.121999965952065e-08,3.360431e-05
1.682999948928098e-08,3.365189e-05
2.243999931904131e-08,3.369545e-05
2.804999914880163e-08,3.373500e-05
3.365999897856196e-08,3.377054e-05
3.926999880832227e-08,3.380207e-05
6.993938718291022e-08,3.391797e-05
9.757307678926494e-08,3.394717e-05
1.299367706610441e-07,3.391912e-05
1.603218086820136e-07,3.386791e-05
2.015625122347360e-07,3.378835e-05
2.547751049869187e-07,3.368181e-05
3.123367536124738e-07,3.355467e-05
3.905544556104537e-07,3.335438e-05
4.994939900542111e-07,3.303839e-05
6.570796762959077e-07,3.256515e-05
8.868516346734194e-07,3.195981e-05
1.123998728390477e-06,3.160304e-05
1.417800533832003e-06,3.172255e-05
1.741665888513666e-06,3.263310e-05
2.137157471650841e-06,3.464483e-05
2.579181097272501e-06,3.751502e-05
2.993081625653196e-06,4.035787e-05
3.382557721390842e-06,4.295023e-05
3.879427465626105e-06,4.629155e-05
4.440819044483868e-06,5.062250e-05
5.017985046810064e-06,5.614055e-05
5.636309386984111e-06,6.329155e-05
6.339261027229802e-06,7.249214e-05
7.170844448366187e-06,8.438276e-05
8.044023604770163e-06,9.826268e-05
8.992940516364977e-06,1.154904e-04
1.015216202968629e-05,1.392626e-04
1.124082629662530e-05,1.641389e-04
1.262159630977776e-05,1.993450e-04
1.619553689990291e-05,3.107507e-04
1.863822579825222e-05,4.015228e-04
2.099735230833441e-05,5.031474e-04
2.524795206442340e-05,7.193931e-04
3.111517754007313e-05,1.073628e-03
3.698516969328340e-05,1.499006e-03
4.461728557626699e-05,2.159149e-03
5.304276863590295e-05,3.022517e-03
6.333703272766386e-05,4.276048e-03
7.674384308034179e-05,6.233858e-03
9.605374475649799e-05,9.603692e-03
1.153281797739164e-04,1.361288e-02
1.396079791794719e-04,1.961279e-02
1.702876666794719e-04,2.846490e-02
2.009673541794719e-04,3.864114e-02
2.316470416794719e-04,5.012295e-02
2.623267291794719e-04,6.281613e-02
2.930064166794719e-04,7.663147e-02
3.236861041794719e-04,9.148437e-02
3.543657916794719e-04,1.072945e-01
3.850454791794719e-04,1.239854e-01
4.157251666794719e-04,1.414845e-01
4.770845416794719e-04,1.786328e-01
5.384439166794719e-04,2.182217e-01
5.998032916794719e-04,2.597770e-01
6.611626666794719e-04,3.028631e-01
6.918423541794719e-04,3.248531e-01
7.225220416794719e-04,3.470771e-01
7.532017291794719e-04,3.694894e-01
7.838814166794719e-04,3.920458e-01
8.145611041794719e-04,4.147036e-01
8.452407916794719e-04,4.374216e-01
8.759204791794719e-04,4.601600e-01
9.066001666794719e-04,4.828802e-01
9.372798541794719e-04,5.055448e-01
9.679595416794719e-04,5.281178e-01
9.986392291794718e-04,5.505641e-01
1.029318916679472e-03,5.728498e-01
1.090678291679472e-03,6.168088e-01
1.152037666679472e-03,6.597438e-01
1.213397041679473e-03,7.014191e-01
1.305436104179473e-03,7.610896e-01
1.397475166679473e-03,8.167425e-01
1.489514229179474e-03,8.677575e-01
1.581553291679474e-03,9.135799e-01
1.620998604179474e-03,9.315782e-01
1.660443916679474e-03,9.484222e-01
1.699889229179474e-03,9.641117e-01
1.739334541679474e-03,9.786469e-01
1.778779854179475e-03,9.920277e-01
1.818225166679475e-03,1.004254e+00
1.857670479179475e-03,1.015326e+00
1.888350166679475e-03,1.023045e+00
1.919029854179475e-03,1.029984e+00
1.949709541679475e-03,1.036144e+00
1.980389229179475e-03,1.041524e+00
2.011068916679475e-03,1.046125e+00
2.041748604179475e-03,1.049947e+00
2.072428291679476e-03,1.052989e+00
2.164467354179476e-03,1.057257e+00
2.195147041679476e-03,1.057068e+00
2.256506416679476e-03,1.054263e+00
2.291568916679476e-03,1.051194e+00
2.326631416679477e-03,1.047083e+00
2.361693916679476e-03,1.041930e+00
2.396756416679477e-03,1.035736e+00
2.431818916679477e-03,1.028500e+00
